INADIMPLENTE,CREDITO_CONCEDIDO,GENERO,ESCOLARIDADE,ESTADO_CIVIL,IDADE,ATRASO_PARCELA_M_0,ATRASO_PARCELA_M_2,ATRASO_PARCELA_M_3,ATRASO_PARCELA_M_4,ATRASO_PARCELA_M_5,ATRASO_PARCELA_M_6,SALDO_PAGO_PARCELA_1,SALDO_PAGO_PARCELA_2,SALDO_PAGO_PARCELA_3,SALDO_PAGO_PARCELA_4,SALDO_PAGO_PARCELA_5,SALDO_PAGO_PARCELA_6,VALOR_PAGAMENTO_ANTERIOR_1,VALOR_PAGAMENTO_ANTERIOR_2,VALOR_PAGAMENTO_ANTERIOR_3,VALOR_PAGAMENTO_ANTERIOR_4,VALOR_PAGAMENTO_ANTERIOR_5,VALOR_PAGAMENTO_ANTERIOR_6
0,90000,2,1,2,25,2,0,0,0,0,-1,84710,87334,87862,18889,-783,73568,4000,3258,1000,0,77500,0
0,360000,1,1,1,46,-1,-1,-1,-1,0,0,2171,1063,91502,100125,84773,76951,1068,91679,45086,2223,2091,9890
1,160000,2,2,1,44,-1,-1,-2,-2,-2,-2,1224,0,0,0,0,0,0,0,0,0,0,0
0,80000,2,2,2,24,0,0,0,-2,-2,-2,3278,4000,0,0,0,0,1000,0,0,0,0,0
1,140000,1,2,1,36,0,0,0,0,0,0,135720,138344,141421,78954,63163,64279,4633,5327,2786,6143,1768,1739
0,100000,1,2,2,32,-1,0,0,0,0,0,88550,91724,94799,97861,104634,92537,5000,5000,5000,9000,10000,5000
1,90000,1,2,1,42,0,0,0,0,-2,-2,87104,90651,92400,0,0,0,5000,4500,0,0,0,0
1,61230,1,2,1,43,1,0,0,0,0,0,60379,61070,60002,29933,27819,26579,2534,2180,1097,1156,1892,3631
0,150000,1,2,1,43,0,0,0,0,0,0,122084,126042,128706,131333,133974,136907,5000,3700,3719,3756,4031,3914
0,610000,2,1,2,31,0,0,0,0,0,0,142764,126606,67887,58397,105301,105965,6540,2100,2150,50000,4700,2000
1,60000,1,1,1,37,1,0,0,0,0,2,41149,42212,42709,43359,47871,47526,2033,1391,1768,5324,675,1967
1,80000,2,2,1,32,0,0,0,0,0,0,11163,11354,8806,6396,7222,5963,1441,1224,288,989,729,1099
0,280000,2,2,2,30,-1,-1,-1,0,0,-2,1373,207,3516,2769,0,0,207,3516,0,0,0,0
1,40000,1,3,2,24,2,0,0,0,0,0,39149,39189,40543,38922,39901,40746,1658,2012,1392,1605,1668,1201
1,20000,2,1,2,24,-2,2,2,2,2,0,18252,19650,19054,20285,19563,17899,2000,0,2000,0,356,3431
0,60000,2,1,2,29,0,0,0,0,0,0,23304,20517,20261,22832,24234,24928,3000,3000,3000,2000,2000,2000
1,20000,1,2,2,25,1,2,3,2,0,0,18885,21563,20943,20152,19754,19204,3300,0,0,2,384,2488
0,310000,2,1,2,29,-1,-1,-1,-1,-2,-1,760,3674,368,-2444,-2444,151306,3674,500,0,0,155438,5231
1,210000,2,2,1,27,2,2,2,0,0,0,170646,174134,167095,161573,122362,116243,7800,16,6800,3800,5134,4000
1,30000,2,2,1,25,2,0,0,0,0,1,25744,24056,22316,19626,16152,15303,2171,1272,966,1523,307,681
1,20000,2,2,2,42,2,2,2,2,2,2,18155,17595,19355,19554,19795,19342,0,2344,800,683,0,1500
0,440000,1,1,1,62,0,0,0,-1,2,0,14721,5049,649,1108,150,1075,4909,499,959,0,925,1392
0,500000,2,1,2,37,0,0,0,0,0,0,20181,21197,23839,24869,27437,31957,1358,3000,1432,3000,5000,5000
0,30000,1,3,2,23,2,2,2,2,2,2,10732,20501,20831,21231,20589,31018,10000,1000,1000,0,13000,0
1,130000,1,1,2,31,0,0,0,0,0,0,129254,133717,130556,130777,127793,126200,8239,2976,5220,4801,5163,4504
1,390000,1,1,1,36,0,-1,-1,-1,-1,-1,31,217,68,68,348,92,217,68,0,348,92,57
1,280000,1,2,1,39,-2,-2,-2,-2,-2,-2,2082,3557,5623,5400,3866,3526,3597,5672,5427,3885,3543,3519
1,10000,1,1,2,26,0,0,0,0,0,0,6376,7386,8581,9765,10066,10151,1121,1316,1500,450,500,800
1,30000,1,2,1,32,0,0,2,2,2,0,20631,24609,24168,25399,25131,25610,4641,254,1707,279,934,1845
0,170000,1,3,1,44,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0
1,20000,2,2,1,24,4,3,2,2,2,2,16549,16002,16047,15492,16739,16320,0,600,0,1500,0,2000
1,72508,1,2,1,39,1,1,1,0,-1,0,74491,74798,70630,44846,44673,41707,2107,1055,434,47200,6903,1265
0,70000,2,1,2,24,0,0,2,0,0,0,8244,10569,8159,8241,9103,9361,2500,0,1000,1000,409,1000
0,70000,1,3,1,54,0,0,0,0,0,0,64527,59996,57417,54558,58968,63456,2519,5015,4000,5950,6000,2507
1,88933,1,2,1,33,0,0,0,0,0,0,56475,58482,60350,61586,62904,64166,2978,2904,2300,2321,2321,2178
0,110000,2,1,2,27,0,0,0,0,2,0,89603,88232,85362,74552,59902,42254,4113,3500,4005,0,1500,1999
0,320000,2,1,2,33,-2,-2,-2,-2,-2,-2,2722,11040,9422,0,1200,1150,11040,9422,0,1200,1150,0
0,360000,2,1,2,27,-2,-2,-2,-2,-2,-2,0,0,0,0,0,300,0,0,0,0,300,0
0,50000,1,2,2,23,0,0,0,0,0,0,40698,42018,43344,16951,16989,17230,2000,2230,1600,600,500,19742
0,230000,2,2,1,28,0,0,0,0,0,0,54228,21092,18481,15609,5802,72049,1500,1139,600,800,70196,3000
0,20000,1,1,1,44,0,0,0,0,0,0,17974,32768,16057,14189,13265,12214,2000,1506,1000,800,1000,1000
0,280000,1,1,2,31,0,0,0,0,0,0,148186,150724,153762,155242,143679,145615,5000,5006,4408,4117,4600,4600
1,160000,1,2,2,34,2,2,2,2,2,2,73820,72341,76917,75370,81943,80203,0,5500,0,7500,0,2000
1,30000,1,2,2,25,1,-1,2,2,-1,0,0,1170,390,0,9494,11473,1170,0,0,9494,3000,378
0,150000,1,3,2,30,0,0,0,0,0,0,80220,47272,141568,97990,96017,79743,3095,135332,2848,2330,2204,2100
0,80000,2,2,1,56,1,-1,-1,-1,-1,-1,-2,697,-3,1186,-4,1633,699,0,1579,0,1637,4844
1,200000,1,1,1,34,0,0,0,1,1,1,156078,162095,172463,153410,130316,119770,9934,14176,370,9555,387,10532
1,90000,1,2,1,25,0,0,0,2,2,2,23708,26036,28543,30099,29374,28759,3016,2950,2311,24,0,4823
0,90000,2,2,2,23,-1,-1,-1,-1,0,0,13808,4300,2748,1048,450,450,4335,4448,6980,0,0,711
0,150000,2,1,2,27,-1,-1,-1,0,0,-2,222,3,3359,2924,0,0,3,3461,261,0,0,0
0,50000,2,1,2,24,-1,-1,-1,-1,-1,-1,1303,1303,748,1693,1138,748,1303,748,1693,1138,895,1528
0,210000,1,3,1,44,-2,-2,-2,-2,-2,-2,1525,800,850,2340,2380,2694,800,850,2340,2380,2694,1530
0,400000,2,1,2,32,0,0,0,0,-1,-1,35383,33892,22071,18161,14669,686,12119,9177,90,14709,686,18444
0,90000,2,2,1,29,0,0,0,0,0,0,5618,6645,7635,8020,8403,9504,1125,1115,500,500,1252,154
0,80000,2,3,1,26,0,0,0,0,0,0,46802,33357,32883,29425,30117,30492,1903,1397,5000,1300,1400,1300
1,50000,2,1,2,28,1,2,2,2,2,2,46386,46658,47582,48506,49556,50144,1303,2000,2000,1965,1769,1965
0,140000,1,1,2,29,0,0,0,0,0,0,29785,32140,34002,23567,24377,4327,4000,3000,3000,1000,1000,2000
0,20000,2,2,1,42,0,0,0,0,0,0,19185,18621,19605,19717,19203,19871,1323,1307,691,705,995,722
0,220000,1,5,2,37,2,0,0,0,0,0,217638,213843,211233,194579,96213,27540,7506,23007,7991,4191,719,409
0,210000,2,2,2,30,1,-2,-1,-1,2,0,0,0,474,17171,16625,17030,0,474,17171,0,800,5000
1,180000,2,2,1,30,-2,-2,-2,-2,-2,-2,332,0,0,0,436,2155,0,0,0,436,2317,1723
1,20000,2,2,2,23,0,0,0,0,0,0,17257,17417,14462,14750,15215,16209,1230,1239,527,702,1400,0
1,79511,1,1,1,38,0,0,0,0,0,0,76738,75813,50102,33493,45830,46792,3023,1758,1677,22820,1700,1740
1,150000,2,2,1,40,1,0,0,0,0,0,102575,86446,79364,71239,65998,67168,3263,3322,2510,2543,3000,4759
0,120000,1,3,1,36,-1,0,0,0,0,0,31218,32319,32687,32972,33559,34604,2000,1600,1200,1500,2000,1500
1,20000,1,1,2,23,0,0,2,2,3,2,10160,15165,17474,19416,18990,18377,5241,2882,2555,187,0,1000
1,20000,2,3,2,34,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0
1,150000,2,3,1,24,-2,-2,-2,-2,-2,-2,6479,1670,4330,8036,1505,974,1670,4330,8040,1505,974,0
0,50000,1,2,2,29,0,0,-2,-2,-2,-2,30900,0,0,0,0,0,0,0,0,1500,0,0
1,20000,1,2,1,23,2,2,2,0,0,0,17397,19121,18774,19144,10847,2145,2524,528,703,1164,2145,0
1,30000,1,2,1,37,0,0,0,0,0,0,15054,15104,15428,16273,16305,780,1551,1265,1500,841,0,0
0,180000,1,2,1,43,0,0,0,0,0,0,158843,152507,143489,146139,73718,137304,6029,7035,10007,20000,4000,10000
0,80000,2,3,2,24,1,-2,-1,-1,-1,-1,0,0,2455,2500,1307,1550,0,2455,2500,1307,1550,896
0,140000,1,1,2,28,0,-1,-1,0,-1,-1,3234,4324,5477,4490,1500,-51183,4340,5491,2013,1510,18,89898
1,70000,2,2,1,26,2,2,2,0,0,1,27373,29223,28447,28815,30085,30426,2391,0,1366,1953,1155,336
0,220000,2,2,2,32,0,0,0,0,0,0,93682,96466,99009,100462,102614,104806,4337,5000,4000,3824,4000,4000
1,80000,1,2,2,24,1,1,1,1,1,2,24227,24468,24587,26748,27793,26890,1720,662,2724,1615,627,443
1,140000,1,1,1,34,2,2,2,2,0,0,104651,105162,104207,100326,102740,103444,5000,3600,0,4000,4000,3603
1,230000,1,1,1,38,-1,-1,-1,-1,-1,-1,1285,845,3289,71,551,647,845,3289,71,551,647,83
0,190000,2,2,1,48,0,0,0,0,0,0,210612,206806,203803,167103,163528,162555,7496,9144,5972,5858,6174,6047
1,52967,1,2,1,42,1,0,0,0,0,0,55952,53162,50315,19773,17703,17696,3013,1458,2944,843,1767,793
1,160000,1,1,1,49,1,0,0,0,1,2,219,1252,1466,2477,2447,4528,1119,1349,2344,159,2223,110
1,360000,2,2,1,61,2,0,0,0,0,0,353176,353782,303494,260113,263229,268446,13869,11644,12307,9474,9662,9794
0,180000,2,2,2,36,-1,-1,-1,-1,0,-1,25359,28432,1535,14470,14270,4529,28703,1535,15000,0,5793,36702
1,160000,2,2,2,27,2,2,2,2,2,2,157818,161308,162923,161481,155819,168283,7500,5800,5700,0,18100,0
0,80000,2,1,2,27,2,-1,-1,0,0,0,100,980,28798,29398,15037,0,980,28798,1000,1000,0,0
1,200712,1,1,2,31,-1,-1,0,-1,-1,1,5730,19900,2134,1269,1600,762,19910,583,1269,1600,141,723
0,80000,2,1,2,24,-1,-1,-1,-1,-1,-1,390,1063,390,741,390,765,1063,390,741,390,765,390
0,190000,2,1,2,28,-2,-2,-2,-2,-2,-2,0,2278,918,859,1300,514,2278,918,864,1300,514,175
0,200000,1,3,2,32,-1,-1,0,-1,0,-1,4881,6685,34484,13361,5540,12495,6691,30088,13378,127,12502,109
1,160000,1,1,2,49,1,1,0,0,0,0,2044,2800,12685,8550,5583,4754,2294,12608,908,566,995,2482
0,260000,2,2,1,41,0,0,0,0,2,0,195465,199338,203651,223837,218383,222960,8400,8800,25000,0,8000,21000
1,50000,1,2,1,47,-1,-1,-1,-1,-1,-1,445,445,445,390,390,390,445,445,390,390,390,0
0,30000,2,3,1,41,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0
1,30000,1,1,1,32,1,2,2,2,2,0,24316,23629,26596,26982,25401,26279,0,3465,1123,0,1492,2842
0,210000,2,1,2,38,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0
1,30000,1,2,1,44,0,0,1,0,0,1,2438,4769,3162,3515,3686,2354,4237,1152,2657,2592,1129,1576
1,30000,1,2,1,44,2,2,2,0,0,0,21043,23842,23164,24367,23937,22028,3390,0,1899,1124,1175,777
0,300000,2,2,1,37,2,0,0,0,2,0,51893,53056,54176,60363,59973,60399,2000,2000,7100,0,2000,994
0,150000,2,2,2,27,0,0,0,0,0,0,23165,24515,25592,24949,26846,26908,1723,1800,1100,2300,1000,1300
1,292407,1,1,2,30,0,0,0,2,2,2,6090,6745,7740,8731,9236,9658,911,1138,1240,683,722,607
0,230000,2,2,1,46,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,83
1,106528,1,1,1,40,0,0,0,0,2,0,46075,47873,47288,50955,49566,50178,2640,1154,4445,0,2093,1045
1,290000,1,2,1,42,-2,-2,-2,-2,-2,-2,457,705,868,627,462,671,708,870,629,463,673,772
0,200000,1,3,1,29,-1,-1,-1,-1,-1,-1,15456,46620,22935,8335,971,4278,46722,22985,8346,971,4296,21767
1,240000,1,1,2,30,-1,-1,-1,-1,-1,0,5354,4790,900,6849,26249,6633,4790,900,6849,26249,2200,3000
1,150000,1,1,2,32,0,0,1,1,1,0,53482,56304,55052,54460,54745,25585,4304,818,2067,739,1326,1091
1,40000,1,1,1,41,-1,2,1,-1,0,0,780,390,83,1086,696,32,0,83,1086,0,32,167
1,200000,1,1,1,34,-1,-1,-1,0,0,-1,1817,29012,5004,4634,1235,2424,29068,5017,1215,6,2586,8
0,180000,1,2,2,25,0,0,0,0,0,-1,4236,5230,6570,7192,6437,12499,2001,2000,1018,6154,12527,5016
1,158407,1,1,1,37,0,0,0,0,0,1,14788,16071,17000,17748,18975,18716,1535,1240,1083,1517,159,1000
1,64287,2,2,1,28,0,0,0,0,0,0,64009,64666,65485,27534,27246,26703,2906,3151,1767,1235,1028,1224
0,300000,1,3,2,64,-1,-1,-1,-1,-1,-1,1068,1168,1005,1372,1610,1355,1168,1005,1372,1610,1355,1426
0,50000,2,3,1,69,0,0,0,0,0,0,12196,13985,15750,17434,19220,17822,2000,2000,2000,2000,605,1000
1,110000,1,3,2,36,-1,-1,-1,-2,-2,-2,2509,1260,0,0,0,0,1260,0,0,0,0,0
0,290000,2,2,1,37,0,0,0,0,-1,0,48978,58858,36129,20369,29521,59219,20078,5017,509,29526,35000,93600
1,20000,2,2,2,39,0,0,0,0,0,-2,1464,2687,4240,6061,0,0,1612,3187,3596,0,0,0
0,180000,2,2,1,53,-2,-2,-2,-2,-2,-2,0,533,2329,1778,2510,184,533,2329,1778,2514,184,1103
0,50000,2,2,2,48,-1,0,-1,-1,-1,-1,1309,2158,1787,860,896,1087,1000,1787,860,900,1087,3123
1,440000,2,1,1,39,0,0,0,0,0,0,388357,390101,387948,354871,238196,200777,14193,14740,9655,6453,5478,4919
0,60000,2,2,2,48,0,0,0,0,0,0,86550,82592,77423,70653,22552,23708,3000,3000,3000,5000,3000,3000
1,200000,2,1,1,43,1,-1,-1,-2,-2,-1,0,609,0,0,0,241,610,0,0,0,241,139
0,250000,1,1,2,27,0,0,0,0,0,0,144525,183569,186020,186465,113336,0,43089,6959,110000,0,0,132818
0,170000,1,1,2,30,0,0,0,0,0,0,117010,119463,123476,124934,127918,130782,4337,6000,5000,5000,5000,4898
1,160000,2,2,1,35,-1,-1,-1,-1,-1,-1,724,1066,381,724,1066,381,1066,433,724,1066,381,724
1,20000,2,2,1,35,1,2,1,1,1,2,16011,15459,18123,18775,20573,20191,0,3058,1257,2398,773,429
0,320000,1,2,2,52,-1,-1,-1,-1,-1,-1,1122,5000,396,1176,396,396,5000,792,1176,396,396,39316
0,190000,2,1,2,25,0,0,0,0,0,0,106223,103922,106082,95645,89762,91835,7500,16027,9000,2919,3220,22000
1,50569,2,1,2,22,0,0,0,2,0,-1,3365,4329,7262,11369,3544,98,1027,3017,0,1886,98,30212
1,140000,2,2,1,28,-1,2,-1,-1,-1,-1,1953,1366,464,337,548,395,0,464,337,548,395,681
0,150000,1,3,1,45,-1,0,-1,-1,-1,-1,29169,15000,15000,0,15000,0,1000,15000,0,15000,0,0
0,140000,1,1,2,35,0,0,0,0,0,0,142119,142362,142292,99399,101677,100867,6000,6982,3500,3800,3700,4000
0,360000,1,1,1,36,-2,-1,-1,-1,-2,-2,0,394,11142,0,0,0,394,11253,0,0,0,0
1,80000,1,2,1,46,0,0,1,0,0,0,78492,79341,79178,77991,78737,79116,4540,3000,3521,3241,3000,3909
0,50000,2,2,2,28,0,0,0,-1,0,0,59321,56454,53278,19437,19845,19911,2329,2353,39886,704,730,656
0,260000,1,3,1,53,-2,-2,-2,-2,-2,-2,3304,7378,3641,4726,2966,5946,7378,3696,4726,2966,5946,6020
0,20000,1,2,2,44,0,0,0,0,0,0,8843,9262,7102,5035,5152,2150,1115,1202,1000,117,246,0
1,20000,1,2,1,47,1,2,0,0,0,-2,20143,19529,19257,18677,0,0,0,1200,119,714,0,0
0,410000,1,1,1,33,-1,-1,-1,-2,-1,-1,3244,8339,0,0,1759,2624,8339,0,0,1759,2624,0
0,500000,1,2,1,41,0,0,0,0,0,0,478623,466444,239921,184874,47774,34617,14000,12800,4300,3063,3600,3100
0,250000,1,2,2,28,0,0,0,2,2,0,149678,152704,163101,164953,160805,164411,7000,14400,6000,0,6200,6200
0,200000,2,1,2,36,0,0,-2,-2,-2,-2,120869,0,0,0,0,0,0,0,0,0,0,0
0,230000,2,1,1,27,0,0,0,0,0,0,104001,106155,111244,116300,121346,130318,4000,6000,6000,6000,10000,11058
0,300000,2,1,1,33,-1,-1,-1,-1,0,-1,356,1313,5273,4345,1106,1322,1320,5273,4598,0,2620,5956
1,30000,2,2,2,23,0,0,0,0,0,0,25404,26410,27647,28208,28382,28714,1431,1668,1382,1045,1071,1230
1,110000,2,1,1,32,2,2,2,1,1,2,92054,93980,94380,96672,97962,99802,4452,2882,4763,3796,3660,3866
0,290000,2,2,2,34,0,0,0,0,0,0,310403,315048,314085,317631,315820,305498,12012,12012,11016,11088,12031,12031
